Players,AB,R,HR,RBI,SB,AVG,VAL,AUC VAL,POS
Michael Brantley DH | HOU ,544,85,22,86,5,0.311,10.659926,16,7
Gio Urshela 3B | NYY ,535,86.69642054,23.33841509,97.93076324,2.376726799,0.3065,10.61817371,19,5
Marcus Semien SS | TOR,562,86.31173866,20.07048929,67.40153567,10.55247634,0.254333333,10.60799221,14,6
Nick Castellanos RF | CIN ,571,97,29,80,2,0.27,10.54482,23,7
Gleyber Torres SS | NYY,544,77.26870809,26.71771642,83.61942157,5.518256943,0.264333333,10.51871849,21,6
Eddie Rosario LF | CLE,548,78,25,94,5,0.256,10.505296,20,7
Nick Solak LF | TEX,483,76,16,71,12,0.273,10.478218,11,7
Jean Segura 2B | PHI,576,84.14903299,14.27645051,65.64163823,11.88623436,0.283333333,10.46186268,9,4
Jean Segura 2B | PHI,576,84.14903299,14.27645051,65.64163823,11.88623436,0.283333333,10.46186268,9,5
Nick Solak LF | TEX,532,75.29846154,11.45846154,65.47692308,14.73230769,0.277,10.45112508,11,4
Miguel Sano 1B | MIN ,534,86.6802005,37.06642412,88.36608457,0,0.216666667,10.39488614,16,3
Kevin Pillar CF | NYM ,442,72,19,68,11,0.274,10.365684,4,7
Travis d'Arnaud C | ATL,423,64.69847609,24.98434051,82.70320547,6.171991592,0.2935,10.34234609,16,2
Shogo Akiyama LF | CIN ,581,70,14,54,16,0.262,10.330092,4,7
Kyle Schwarber LF | WAS ,532,81,32,80,3,0.242,10.325772,11,7
Willie Calhoun DH | TEX ,565,76,29,98,2,0.253,10.313898,11,7
Jesus Aguilar 1B | MIA ,546,82.20922977,27.64724934,101.8470048,0,0.262333333,10.15738624,4,3
Dominic Smith 1B | NYM ,455,79.68926554,26.99152542,86.11581921,1.285310734,0.299,10.13394699,19,3
Mike Moustakas 2B | CIN ,525,63.29261699,30.33470694,92.11766602,3.484457386,0.245,10.12942214,18,3
